id	text	answer	aliases	romaji	type	tags	difficulty	weight	status	source	answer_display	reading	explanation
1	日本の首都は？	tokyo	toukyou	nihon no shuto ha ?	fast		3		prod	import	東京	とうきょう	
2	1足す1は？	2	ni|two	1 tasu 1 ha ?	fast		3		prod	import	2	に	
4	三角形の内角の和は何度？	180	180do	sankakukei no naikaku no wa ha nando ?	fast		3		prod	import	180度	ひゃくはちじゅうど	
5	水の化学式は？	h2o		mizu no kagakushiki ha ?	fast		3		prod	import	H2O	えいちつうおう	
7	1日は何時間？	24	24jikan	1nichi ha nanjikan ?	fast		3		prod	import	24時間	にじゅうよじかん	
9	トランプのハート、ダイヤ以外の赤色のマークは？	none	nashi|nai	toranpu no ha-to , daiya igai no akairo no ma-ku ha ?	fast		3		prod	import	なし	なし	
11	サイコロの1の裏の数字は？	6	roku	saikoro no 1 no ura no suuji ha ?	fast		3		prod	import	6	ろく	
12	干支の最初の動物は？	nezumi	ne|mouse|rat	eto no saisho no doubutsu ha ?	fast		3		prod	import	ねずみ	ねずみ	
13	野球の1チームの人数は？	9	kyuu	yakyuu no 1chi-mu no ninzuu ha ?	fast		3		prod	import	9	きゅう	
14	義務教育の小学校は何年間？	6	roku	gimukyouiku no shougakkou ha nannenkan ?	fast		3		prod	import	6年間	ろくねん	
16	桃太郎が退治しに行った場所は？	onigashima		momotarou ga taiji shi ni itta basho ha ?	fast		3		prod	import	鬼ヶ島	おにがしま	
18	サッカーで手を使ってよいポジションは？	gk	goalkeeper|go-ruki-pa-	sakka- de te wo tsukatte yoi pojishon ha ?	fast		3		prod	import	ゴールキーパー	ごおるきいぱあ	
21	太陽が昇る方角は？	higashi	east	taiyou ga noboru hougaku ha ?	fast		3		prod	import	東	ひがし	
25	2月は通常何日まで？	28		2gatsu ha tsuujou nannichi made ?	fast		3		prod	import	28日	にじゅうはちにち	
26	光の三原色は赤、緑と何？	ao	blue	hikari no sangenshoku ha aka , midori to nani ?	fast		3		prod	import	青	あお	
28	世界で一番広い国は？	russia	roshia	sekai de ichiban hiroi kuni ha ?	fast		3		prod	import	ロシア	ろしあ	
30	大相撲の土俵は何角形？	en	maru|circle	oozumou no dohyou ha nankakukei ?	fast		3		prod	import	円	えん	
32	ABCの次に来る文字は？	d		ABC no tsugi ni kuru moji ha ?	fast		3		prod	import	D	でぃ	
36	5円玉に開いている穴の形は？	maru	en|circle	5yendama ni aiteiru ana no katachi ha ?	fast		3		prod	import	円	えん	
38	テニスで0点の呼び方は？	love		tenisu de 0ten no yobikata ha ?	fast		3		prod	import	ラブ	らぶ	
40	カエルの子供は？	otamajakushi		kaeru no kodomo ha ?	fast		3		prod	import	おたまじゃくし	おたまじゃくし	
45	日本の都道府県の数は？	47		nihon no todoufuken no kazu ha ?	fast		3		prod	import	47	よんじゅうなな	
46	東京スカイツリーの高さは？	634	musashi	toukyou sukaitsuri- no takasa ha ?	fast		3		prod	import	634	ろっぴゃくさんじゅうよん	
47	聖徳太子が定めた憲法は？	17jou	juushichijou	shoutokutaishi ga sadameta kenpou ha ?	fast		3		prod	import	17条	じゅうしちじょう	
